Coin Name,Coin Price,Market Cap,Volume,Supply
Bitcoin,"$86,324.90","$1,717,129,111,042","$155,829,920,352","19,781,253 BTC"
Ethereum,"$3,270.57","$394,842,933,706","$69,893,457,781","120,423,718 ETH"
Tether,$1.00,"$124,096,021,900","$296,868,530,892","124,012,870,444 USDT"
Solana,$212.28,"$100,178,622,999","$12,471,335,737","471,915,687 SOL"
BNB,$628.98,"$90,636,127,173","$4,126,007,163","144,099,208 BNB"
Dogecoin,$0.3734,"$54,805,987,245","$40,177,119,517","146,761,706,384 DOGE"
XRP,$0.6983,"$39,712,719,713","$9,321,714,088","56,868,662,755 XRP"
USDC,$0.9997,"$36,572,295,347","$22,743,337,748","36,583,809,662 USDC"
Cardano,$0.578,"$20,239,590,831","$3,329,707,091","35,018,528,522 ADA"
TRON,$0.1783,"$15,406,941,475","$1,766,608,875","86,402,457,783 TRX"
Shiba Inu,$0.00002577,"$15,184,605,140","$6,319,087,230","589,260,555,848,326 SHIB"
Avalanche,$34.30,"$13,972,820,009","$2,158,469,586","407,324,948 AVAX"
Toncoin,$5.33,"$13,560,565,219","$828,095,340","2,545,476,920 TON"
Chainlink,$14.09,"$8,829,354,738","$1,277,811,925","626,849,970 LINK"
Sui,$3.06,"$8,705,910,067","$3,106,428,704","2,845,750,696 SUI"
Bitcoin Cash,$433.43,"$8,576,425,092","$1,361,485,812","19,787,322 BCH"
Polkadot,$5.34,"$8,097,042,785","$1,136,834,726","1,517,342,700 DOT"
Aptos,$12.59,"$6,548,379,051","$1,602,948,989","520,281,993 APT"
NEAR Protocol,$5.14,"$6,263,651,706","$1,644,492,715","1,217,906,155 NEAR"
Litecoin,$76.43,"$5,746,752,573","$1,705,072,892","75,187,743 LTC"
UNUS SED LEO,$6.19,"$5,729,115,352","$11,341,111","924,920,702 LEO"
Pepe,$0.00001297,"$5,454,845,964","$6,801,660,265","420,689,899,999,995 PEPE"
Uniswap,$8.94,"$5,366,945,685","$1,385,826,815","600,425,074 UNI"
Dai,$0.9999,"$5,365,010,590","$301,980,506","5,365,382,703 DAI"
Cronos,$0.173,"$4,596,186,424","$1,221,922,920","26,571,560,696 CRO"
Internet Computer,$8.84,"$4,189,600,533","$302,031,867","473,959,400 ICP"
Bittensor,$545.13,"$4,023,576,976","$755,059,257","7,380,936 TAO"
Stellar,$0.124,"$3,702,831,960","$510,211,669","29,869,169,340 XLM"
Render,$6.98,"$3,613,624,398","$2,201,188,278","517,690,747 RENDER"
Artificial Superintelligence Alliance,$1.43,"$3,489,057,145","$858,508,672","2,434,942,503 FET"
Kaspa,$0.1382,"$3,472,586,551","$312,876,255","25,123,295,125 KAS"
Ethereum Classic,$22.54,"$3,370,214,465","$760,922,934","149,518,797 ETC"
POL (ex-MATIC),$0.3959,"$3,079,271,440","$542,975,187","7,777,471,082 POL"
Stacks,$2.00,"$3,002,316,586","$740,286,364","1,500,399,558 STX"
dogwifhat,$2.93,"$2,925,364,767","$2,098,802,062","998,844,889 WIF"
Monero,$156.59,"$2,888,625,501","$96,644,213","18,446,744 XMR"
Aave,$179.82,"$2,693,037,420","$679,372,150","14,976,413 AAVE"
OKB,$44.54,"$2,672,137,196","$17,943,637","60,000,000 OKB"
Filecoin,$4.25,"$2,543,639,779","$737,175,975","598,560,084 FIL"
Arbitrum,$0.6286,"$2,499,111,186","$1,139,580,974","3,975,409,060 ARB"
Mantle,$0.7389,"$2,487,835,761","$182,393,973","3,366,841,708 MNT"
Injective,$24.22,"$2,394,057,819","$420,294,529","98,848,020 INJ"
First Digital USD,$0.9987,"$2,321,182,762","$21,152,933,614","2,324,214,272 FDUSD"
Bonk,$0.00002993,"$2,242,245,328","$1,613,940,518","74,924,230,610,634 BONK"
Immutable,$1.31,"$2,189,224,088","$236,083,154","1,670,248,659 IMX"
Celestia,$5.20,"$2,152,664,595","$577,500,193","414,090,069 TIA"
VeChain,$0.02645,"$2,142,305,384","$144,875,561","80,985,041,177 VET"
Fantom,$0.747,"$2,094,286,138","$695,904,532","2,803,634,836 FTM"
Cosmos,$5.29,"$2,069,342,948","$438,946,828","390,934,204 ATOM"
Optimism,$1.64,"$2,060,895,753","$838,987,771","1,255,070,491 OP"
Hedera,$0.05439,"$2,049,564,012","$236,071,675","37,680,393,060 HBAR"
THORChain,$5.80,"$1,960,923,757","$686,017,773","338,134,689 RUNE"
Bitget Token,$1.40,"$1,953,171,790","$98,493,492","1,400,000,000 BGB"
Sei,$0.4617,"$1,862,151,189","$801,203,512","4,033,055,555 SEI"
FLOKI,$0.0001907,"$1,831,361,006","$1,263,156,982","9,602,354,516,977 FLOKI"
The Graph,$0.1877,"$1,792,216,067","$257,799,148","9,548,531,509 GRT"
Ethena,$0.5977,"$1,698,764,535","$741,348,462","2,842,187,500 ENA"
Jupiter,$1.15,"$1,551,485,038","$451,944,325","1,350,000,000 JUP"
Popcat (SOL),$1.56,"$1,528,464,888","$239,426,303","979,973,185 POPCAT"
Worldcoin,$2.41,"$1,529,225,369","$1,828,336,203","635,266,594 WLD"
